service_id,date,exception_type
A20131215WKD,20131225,2
A20131215SUN,20131225,1
A20131215WKD,20140101,2
A20131215SUN,20140101,1
A20131215WKD,20140217,2
A20131215SAT,20140217,1
A20131215WKD,20140526,2
A20131215SUN,20140526,1
B20131215WKD,20131225,2
B20131215SUN,20131225,1
B20131215WKD,20140101,2
B20131215SUN,20140101,1
B20131215WKD,20140217,2
B20131215SAT,20140217,1
B20131215WKD,20140526,2
B20131215SUN,20140526,1
